ID,Quote,Author,Characters,Wikipedia,Source
Q168,"Live out of your imagination, not your history.",Stephen Covey,47,https://en.wikipedia.org/wiki/Stephen_Covey,https://www.shopify.com/blog/motivational-quotes
Q169,"People often say that motivation doesn't last. Well, neither does bathing.",Zig Ziglar,74,https://en.wikipedia.org/wiki/Zig_Ziglar,https://www.linkedin.com/pulse/200-motivational-quotes-give-you-courage-success-2023-sonia-mcdonald
Q170,"Take the attitude of a student, never be too big to ask questions.",Og Mandino,66,https://en.wikipedia.org/wiki/Og_Mandino,https://www.linkedin.com/pulse/200-motivational-quotes-give-you-courage-success-2023-sonia-mcdonald
Q171,Success usually comes to those who are too busy to be looking for it.,Henry David Thoreau,69,https://en.wikipedia.org/wiki/Henry_David_Thoreau,https://destinationcles.com/60-best-inspirational-quotes-for-lawyers/
Q172,Motivation is like the tailwind when you ride a bike.,Hermann Lahm,53,,https://bernardzitzer.com/list-quotes-courage/
Q173,Leadership means determining the direction; motivation means accelerating the pace.,Hans-Juergen Quadbeck-Seeger,83,,https://bernardzitzer.com/list-quotes-courage/
Q174,Never hate your enemies. It affects your judgment.,Mario Puzo,50,https://en.wikipedia.org/wiki/Mario_Puzo,https://destinationcles.com/60-best-inspirational-quotes-for-lawyers/
Q175,Develop an attitude of gratitude.,Brian Tracy,33,https://en.wikipedia.org/wiki/Brian_Tracy,https://bernardzitzer.com/list-quotes-courage/
Q176,Discipline equals freedom.,Jocko Willink,26,https://en.wikipedia.org/wiki/Jocko_Willink,https://www.goodreads.com/author/quotes/10803973.Jocko_Willink
Q177,"It's not what you preach, it's what you tolerate.",Jocko Willink,49,https://en.wikipedia.org/wiki/Jocko_Willink,https://www.goodreads.com/author/quotes/10803973.Jocko_Willink
Q178,"There are no bad teams, only bad leaders.",Jocko Willink,41,https://en.wikipedia.org/wiki/Jocko_Willink,https://www.goodreads.com/author/quotes/10803973.Jocko_Willink
Q179,Leaders must own everything in their world. There is no one else to blame.,Jocko Willink,74,https://en.wikipedia.org/wiki/Jocko_Willink,https://www.goodreads.com/author/quotes/10803973.Jocko_Willink
Q180,Relax. Look around. Make a call.,Jocko Willink,32,https://en.wikipedia.org/wiki/Jocko_Willink,https://www.goodreads.com/author/quotes/10803973.Jocko_Willink
Q181,"Besides death, all failure is psychological.",Jocko Willink,44,https://en.wikipedia.org/wiki/Jocko_Willink,https://www.goodreads.com/author/quotes/10803973.Jocko_Willink
Q182,There is no growth in the comfort zone.,Jocko Willink,39,https://en.wikipedia.org/wiki/Jocko_Willink,https://www.goodreads.com/author/quotes/10803973.Jocko_Willink
Q183,"Instead of letting the situation dictate our decisions, we must dictate the situation.",Jocko Willink,86,https://en.wikipedia.org/wiki/Jocko_Willink,https://www.goodreads.com/author/quotes/10803973.Jocko_Willink
Q184,"After all, there can be no leadership where there is no team.",Jocko Willink,61,https://en.wikipedia.org/wiki/Jocko_Willink,https://www.goodreads.com/author/quotes/10803973.Jocko_Willink
Q185,Don't fight stress. Embrace it. Turn it on itself.,Jocko Willink,50,https://en.wikipedia.org/wiki/Jocko_Willink,https://www.goodreads.com/author/quotes/10803973.Jocko_Willink
Q186,There is no easy way.,Jocko Willink,21,https://en.wikipedia.org/wiki/Jocko_Willink,https://www.goodreads.com/author/quotes/10803973.Jocko_Willink
Q187,"A good leader has nothing to prove, but everything to prove.",Jocko Willink,60,https://en.wikipedia.org/wiki/Jocko_Willink,https://www.goodreads.com/author/quotes/10803973.Jocko_Willink?page=2
Q188,Good leaders are rare; bad leaders are common.,Jocko Willink,46,https://en.wikipedia.org/wiki/Jocko_Willink,https://www.goodreads.com/author/quotes/10803973.Jocko_Willink?page=2
Q189,Motivation is fickle. It comes and goes.,Jocko Willink,40,https://en.wikipedia.org/wiki/Jocko_Willink,https://www.goodreads.com/author/quotes/10803973.Jocko_Willink?page=2
Q190,Hesitation defeats us. So we must defeat it.,Jocko Willink,44,https://en.wikipedia.org/wiki/Jocko_Willink,https://www.goodreads.com/author/quotes/10803973.Jocko_Willink?page=2
Q191,Take care of your gear and your gear will take care of you.,Jocko Willink,59,https://en.wikipedia.org/wiki/Jocko_Willink,https://www.goodreads.com/author/quotes/10803973.Jocko_Willink?page=2
